Date,F,HMC,TM,TTM,PAG,GM,OSK,FCAU
2015-06-11,15.279999732971191,33.86000061035156,135.17999267578125,34.61000061035156,52.310001373291016,35.54999923706055,52.02000045776367,10.427631378173828
2015-06-12,15.229999542236328,33.15999984741211,135.49000549316406,34.33000183105469,52.18000030517578,35.709999084472656,51.83000183105469,10.473684310913086
2015-06-15,15.050000190734863,32.91999816894531,135.50999450683594,34.380001068115234,51.65999984741211,35.459999084472656,50.29999923706055,10.203947067260742
2015-06-16,15.0,32.720001220703125,136.05999755859375,34.560001373291016,52.25,35.61000061035156,46.709999084472656,10.197368621826172
2015-06-17,15.020000457763672,32.61000061035156,134.8699951171875,34.72999954223633,52.09000015258789,35.810001373291016,46.27000045776367,9.993420600891113
2015-06-18,15.140000343322754,32.529998779296875,134.47999572753906,35.369998931884766,52.58000183105469,36.20000076293945,45.810001373291016,10.144737243652344
2015-06-19,15.109999656677246,32.47999954223633,134.02000427246094,34.77000045776367,52.52000045776367,36.11000061035156,45.70000076293945,9.993420600891113
2015-06-22,15.130000114440918,33.130001068115234,135.47999572753906,35.56999969482422,52.38999938964844,36.189998626708984,46.099998474121094,10.243420600891113
2015-06-23,15.289999961853027,33.5099983215332,137.10000610351562,35.22999954223633,53.150001525878906,36.29999923706055,45.7400016784668,10.388157844543457
2015-06-24,15.5,32.59000015258789,135.39999389648438,34.9900016784668,53.060001373291016,35.15999984741211,45.45000076293945,10.177631378173828
2015-06-25,15.4399995803833,32.7599983215332,134.8699951171875,34.97999954223633,52.9900016784668,34.70000076293945,44.33000183105469,10.125
2015-06-26,15.399999618530273,32.880001068115234,135.4600067138672,34.900001525878906,53.970001220703125,34.380001068115234,44.220001220703125,10.256579399108887
2015-06-29,15.020000457763672,32.0,132.4499969482422,34.0099983215332,51.779998779296875,33.22999954223633,42.869998931884766,9.559210777282715
2015-06-30,15.010000228881836,32.400001525878906,133.75,34.470001220703125,52.11000061035156,33.33000183105469,42.380001068115234,9.559210777282715
2015-07-01,14.989999771118164,31.8799991607666,133.60000610351562,34.560001373291016,52.619998931884766,33.040000915527344,41.279998779296875,9.625
2015-07-02,14.869999885559082,32.650001525878906,132.75,34.349998474121094,52.22999954223633,33.22999954223633,41.66999816894531,9.401315689086914
2015-07-06,14.789999961853027,32.439998626708984,132.72999572753906,33.810001373291016,51.90999984741211,32.650001525878906,41.34000015258789,9.243420600891113
2015-07-07,14.850000381469727,32.2400016784668,132.3800048828125,33.060001373291016,50.83000183105469,32.86000061035156,40.86000061035156,9.289473533630371
2015-07-08,14.369999885559082,31.040000915527344,128.11000061035156,30.81999969482422,49.52000045776367,31.190000534057617,40.11000061035156,8.960526466369629
2015-07-09,14.329999923706055,31.299999237060547,129.02999877929688,31.139999389648438,49.709999084472656,31.010000228881836,39.849998474121094,9.171052932739258
2015-07-10,14.479999542236328,31.68000030517578,131.52000427246094,31.510000228881836,49.90999984741211,31.399999618530273,40.0,9.519737243652344
2015-07-13,14.640000343322754,31.709999084472656,133.44000244140625,31.65999984741211,51.540000915527344,31.68000030517578,41.689998626708984,9.598684310913086
2015-07-14,14.8100004196167,32.060001373291016,133.4499969482422,30.739999771118164,52.630001068115234,31.770000457763672,41.75,9.559210777282715
2015-07-15,14.75,32.2400016784668,133.99000549316406,30.84000015258789,52.560001373291016,31.43000030517578,40.97999954223633,9.756579399108887
2015-07-16,14.569999694824219,32.11000061035156,135.77000427246094,31.1200008392334,53.279998779296875,30.610000610351562,41.150001525878906,10.013157844543457
2015-07-17,14.6899995803833,32.130001068115234,135.36000061035156,31.100000381469727,52.95000076293945,30.649999618530273,40.79999923706055,10.184210777282715
2015-07-20,14.569999694824219,32.20000076293945,135.5399932861328,30.5,52.88999938964844,30.5,40.689998626708984,10.177631378173828
2015-07-21,14.510000228881836,31.5,134.55999755859375,30.65999984741211,51.619998931884766,30.389999389648438,40.15999984741211,10.2171049118042
2015-07-22,14.420000076293945,31.56999969482422,133.99000549316406,30.190000534057617,51.56999969482422,30.299999237060547,39.4900016784668,10.203947067260742
2015-07-23,14.609999656677246,31.440000534057617,133.25,30.489999771118164,51.630001068115234,31.5,38.86000061035156,10.223684310913086
2015-07-24,14.390000343322754,31.09000015258789,132.5500030517578,29.729999542236328,50.220001220703125,31.059999465942383,38.040000915527344,9.9671049118042
2015-07-27,14.550000190734863,31.149999618530273,131.7899932861328,28.719999313354492,49.41999816894531,31.049999237060547,37.150001525878906,9.480262756347656
2015-07-28,14.829999923706055,31.15999984741211,131.83999633789062,28.850000381469727,50.16999816894531,31.31999969482422,38.560001373291016,9.822368621826172
2015-07-29,15.210000038146973,31.43000030517578,132.57000732421875,29.209999084472656,52.58000183105469,31.950000762939453,39.04999923706055,9.552631378173828
2015-07-30,15.100000381469727,31.649999618530273,132.27000427246094,29.440000534057617,53.15999984741211,31.90999984741211,36.04999923706055,10.25
2015-07-31,14.829999923706055,33.959999084472656,133.4600067138672,29.65999984741211,54.0,31.510000228881836,36.540000915527344,10.394737243652344
2015-08-03,14.9399995803833,34.63999938964844,133.17999267578125,29.68000030517578,53.130001068115234,31.68000030517578,36.0,10.618420600891113
2015-08-04,14.90999984741211,34.630001068115234,129.85000610351562,28.899999618530273,53.25,31.520000457763672,35.7400016784668,10.651315689086914
2015-08-05,14.800000190734863,35.0099983215332,128.30999755859375,29.260000228881836,54.209999084472656,31.600000381469727,36.09000015258789,10.651315689086914
2015-08-06,14.829999923706055,35.56999969482422,128.80999755859375,29.690000534057617,53.25,31.860000610351562,36.75,10.677631378173828
